File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferReader::getBuffer(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferReader::tellg(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferReader::seekg(size_t aPos),5,5,4,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"BufferReader::seekg(size_t offset, SeekOrientation aWay)",9,9,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"BufferReader::read(char* aPtr, size_t aSize)",10,8,6,2,2,1,0,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"BufferReader::read(std::string& str, const unsigned int aSize)",10,7,5,2,3,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, bool &aBool)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, char &aChar)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, uint8_t &aByte)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, uint16_t &anInt)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, uint32_t &anInt)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, float &aFloat)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, char *aBuffer)",5,5,6,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator >>(BufferReader& istm, std::string& aString)",11,8,7,3,3,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"BufferWriter::BufferWriter(char* aBuffer, size_t aMax)",2,2,2,0,0,1,0,4,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,BufferWriter::close(),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"BufferWriter::writeCString(const char *aBuffer, size_t aLength)",4,4,4,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const bool aBool)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const char aChar)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const uint8_t aByte)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const uint16_t anInt)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const uint32_t anInt)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, float aFloat)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\MemoryStream.cpp,"operator <<(BufferWriter& ostm, const char *aBuffer)",3,3,3,1,0,0,0,0,
